country,segment,sales_rep_id,team,pcid_count,revenue_90d,pqr_90d,rev_growth_pct,jobs_90d,rev_per_job,impact_calls_90d,impact_coverage
AU,ACC,5101,AU-NAM-ACCDE-SYD-1,31,60185.4,40194.8,0.5,98572,0.6,0,0
AU,ACC,6383,AU-NAM-ACCDE-SYD-1,53,15798.7,13250.1,0.2,27916,0.6,0,0
AU,ACC,9208,AU-M-ACCDE-SYD-1,198,117882.5,126683.6,-0.1,29583,4.0,153,0
AU,ACC,13758,AU-M-ACCDE-SYD-1,154,57689.3,63998.0,-0.1,17572,3.3,0,0
AU,ACC,17704,AU-NAM-ACCDE-SYD-1,49,40521.2,21485.9,0.9,344698,0.1,15,0
AU,ACC,18351,AU-M-ACCDE-SYD-1,197,84205.7,62822.9,0.3,35842,2.3,144,0
AU,ACC,24772,AU-M-ACCDE-SYD-1,196,83425.1,78579.6,0.1,43315,1.9,185,0
AU,ACC,25650,AU-M-ACCDE-SYD-1,143,46590.0,62452.8,-0.3,15100,3.1,,
AU,ACC,30398,AU-M-ACCDE-SYD-1,185,92342.7,80095.9,0.2,25907,3.6,160,0
AU,ACC,35451,AU-NAM-ACCDE-SYD-1,49,27353.2,18464.5,0.5,42069,0.7,2,0
AU,ACC,43078,AU-M-ACCDE-SYD-1,169,75951.3,89038.5,-0.1,20507,3.7,26,0
AU,ACC,43720,AU-M-ACCDE-SYD-1,176,57555.9,55963.9,0.0,43544,1.3,166,0
AU,NAM,8861,AU-NAM-ACCSA-SYD-1,46,10495.8,8816.7,0.2,28155,0.4,0,0
AU,NAM,14665,AU-NAM-ACCSA-SYD-1,67,13696.5,8623.3,0.6,56128,0.2,3,0
AU,NAM,20039,AU-NAM-ACCSA-SYD-1,51,18382.5,21864.2,-0.2,39520,0.5,0,0
AU,NAM,25018,AU-NAM-ACCSA-SYD-1,47,21920.8,11285.8,0.9,43349,0.5,0,0
BNL,ACC,2351,NL-M-ACCDE-DUB-1,180,70027.2,38150.5,0.8,11970,5.9,0,0
BNL,ACC,4940,BE-NAM-ACCDE-BRU-1,32,50922.3,24322.9,1.0,48525,1.0,0,0
BNL,ACC,5286,NL-M-ACCDE-AMS-2,181,63207.4,36660.6,0.7,10954,5.8,282,1
BNL,ACC,6493,NL-M-ACCDE-AMS-2,175,94057.2,26333.4,1.0,14910,6.3,193,1
BNL,ACC,8128,BE-NAM-ACCDE-BRU-1,28,43020.9,24829.2,0.7,62169,0.7,0,0
BNL,ACC,8673,NL-M-ACCDE-AMS-2,192,75594.8,60899.0,0.2,9128,8.3,271,1
BNL,ACC,8834,NL-NAM-ACCDE-AMS-1,38,20076.2,17167.8,0.2,31855,0.6,15,0
BNL,ACC,10379,NL-M-ACCDE-AMS-2,204,45514.0,34553.0,0.3,14648,3.1,317,1
BNL,ACC,10493,NL-NAM-ACCDE-AMS-1,42,22676.1,10420.9,1.0,35358,0.6,0,0
BNL,ACC,14772,NL-M-ACCDE-AMS-2,175,45399.4,42801.9,0.1,23409,1.9,308,1
BNL,ACC,14813,BE-NAM-ACCDE-BRU-1,27,97199.1,71407.8,0.4,9851,9.9,0,0
BNL,ACC,16472,NL-NAM-ACCDE-AMS-1,40,29544.9,17598.2,0.7,71228,0.4,0,0
BNL,ACC,16516,BE-NAM-ACCDE-BRU-1,35,53141.9,37194.0,0.4,23805,2.2,12,0
BNL,ACC,17142,BE-M-ACCDE-BRU-1,106,59074.8,36731.5,0.6,22463,2.6,250,2
BNL,ACC,19507,BE-M-ACCDE-BRU-1,104,74555.3,61204.4,0.2,145233,0.5,205,1
BNL,ACC,19806,BE-M-ACCDE-BRU-1,115,69472.8,51363.6,0.4,5929,11.7,179,1
BNL,ACC,27047,BE-NAM-ACCDE-BRU-1,25,111479.6,103958.5,0.1,4707,23.7,1,0
BNL,ACC,31700,NL-M-ACCDE-DUB-1,181,57796.1,29701.1,0.9,12110,4.8,177,0
BNL,ACC,35575,NL-M-ACCDE-DUB-1,178,78311.1,66254.9,0.2,7854,10.0,233,1
BNL,ACC,42598,BE-NAM-ACCDE-BRU-1,32,88115.0,50734.6,0.7,11581,7.6,0,0
BNL,ACC,42831,BE-M-ACCDE-BRU-1,190,67836.7,57506.3,0.2,12834,5.3,278,1
BNL,ACC,43160,BE-M-ACCDE-BRU-1,68,64640.8,42242.7,0.5,4620,14.0,112,1
BNL,ACC,44003,BE-M-ACCDE-BRU-1,76,108134.1,62353.2,0.7,19546,5.5,371,4
BNL,ACC,46334,BE-M-ACCDE-BRU-1,98,44896.9,40109.9,0.1,6821,6.6,2,0
BNL,ISDCA,30907,NL-ISDCA-DE-DUB-1,53,223223.5,136015.8,0.6,18314,12.2,140,2
BNL,L,3638,NL-L-SA-DUB-1,49,135114.3,139291.8,0.0,28171,4.8,126,2
BNL,L,6382,NL-L-DE-AMS-1,41,118894.8,75409.6,0.6,38835,3.1,116,2
BNL,L,9479,NL-L-DE-AMS-1,39,128308.2,127323.8,0.0,17941,7.2,121,3
BNL,L,16517,BE-L-SA-BRU-1,53,23261.1,35614.4,-0.3,20855,1.1,145,2
BNL,L,17951,NL-L-DE-AMS-1,41,86967.1,70205.1,0.2,20090,4.3,41,1
BNL,L,28956,NL-L-DE-AMS-1,39,169318.5,149402.1,0.1,28031,6.0,137,3
BNL,L,33964,NL-L-SA-DUB-1,49,211904.5,154615.2,0.4,31243,6.8,152,3
BNL,L,35143,NL-L-SA-DUB-1,48,137232.2,117498.8,0.2,20935,6.6,5,0
BNL,L,36246,NL-L-SA-DUB-1,51,123736.6,128765.4,0.0,24000,5.2,169,3
BNL,L,39849,BE-L-SA-BRU-1,55,21226.8,21340.3,0.0,16790,1.3,46,0
BNL,L,42609,NL-L-DE-AMS-1,41,131314.1,103972.3,0.3,15357,8.6,94,2
