Market,Country,Segment,Sales rep ID,Sales team,PCID count,PQR 90d ($),Revenue 90d ($),Ideal PCID,Segment avg PCID,Segment avg PQR ($),Vs ideal PCID,Too big,Too little,Peel to ideal,Grow slots,Impact Calls 90D,Impact Calls Per Account
AU-ACC,AU,ACC,9208,,198,126683.6,117882.5,58,133.3,59419.0,140,True,False,140,0,,0.0
AU-ACC,AU,ACC,43078,,169,89038.5,75951.3,58,133.3,59419.0,111,True,False,111,0,,0.0
AU-ACC,AU,ACC,13758,,154,63998.0,57689.3,58,133.3,59419.0,96,True,False,96,0,,0.0
AU-ACC,AU,ACC,25650,,143,62452.8,46590.0,58,133.3,59419.0,85,True,False,85,0,,
AU-ACC,AU,ACC,5101,,31,40194.8,60185.4,58,133.3,59419.0,-27,False,True,0,27,,0.0
AU-ACC,AU,ACC,35451,,49,18464.5,27353.2,58,133.3,59419.0,-9,False,True,0,9,,0.0
AU-ACC,AU,ACC,17704,,49,21485.9,40521.2,58,133.3,59419.0,-9,False,True,0,9,,0.0
AU-ACC,AU,ACC,6383,,53,13250.1,15798.7,58,133.3,59419.0,-5,False,True,0,5,,0.0
AU-NAM,AU,NAM,20039,,51,21864.2,18382.5,5,52.8,12648.0,46,True,False,46,0,,0.0
BNL-ACC,BNL,ACC,31700,,181,29701.1,57796.1,35,105.1,43521.0,146,True,False,146,0,,0.0
BNL-ACC,BNL,ACC,2351,,180,38150.5,70027.2,35,105.1,43521.0,145,True,False,145,0,,0.0
BNL-ACC,BNL,ACC,27047,,25,103958.5,111479.6,35,105.1,43521.0,-10,True,True,0,10,,0.0
BNL-ACC,BNL,ACC,14813,,27,71407.8,97199.1,35,105.1,43521.0,-8,True,True,0,8,,0.0
BNL-ACC,BNL,ACC,8128,,28,24829.2,43020.9,35,105.1,43521.0,-7,False,True,0,7,,0.0
BNL-ACC,BNL,ACC,4940,,32,24322.9,50922.3,35,105.1,43521.0,-3,False,True,0,3,,0.0
BNL-ACC,BNL,ACC,42598,,32,50734.6,88115.0,35,105.1,43521.0,-3,True,True,0,3,,0.0
BNL-L,BNL,L,39849,,55,21340.3,21226.8,45,46.0,102131.0,10,True,False,10,0,,0.0
BNL-L,BNL,L,16517,,53,35614.4,23261.1,45,46.0,102131.0,8,True,False,8,0,,2.0
BNL-L,BNL,L,36246,,51,128765.4,123736.6,45,46.0,102131.0,6,True,False,6,0,,3.0
BNL-L,BNL,L,3638,,49,139291.8,135114.3,45,46.0,102131.0,4,True,False,4,0,,2.0
BNL-L,BNL,L,35143,,48,117498.8,137232.2,45,46.0,102131.0,3,True,False,3,0,,0.0
BNL-L,BNL,L,28956,,39,149402.1,169318.5,45,46.0,102131.0,-6,False,True,0,6,,3.0
BNL-L,BNL,L,9479,,39,127323.8,128308.2,45,46.0,102131.0,-6,False,True,0,6,,3.0
BNL-L,BNL,L,42609,,41,103972.3,131314.1,45,46.0,102131.0,-4,False,True,0,4,,2.0
BNL-L,BNL,L,6382,,41,75409.6,118894.8,45,46.0,102131.0,-4,False,True,0,4,,2.0
BNL-L,BNL,L,17951,,41,70205.1,86967.1,45,46.0,102131.0,-4,False,True,0,4,,1.0
BNL-M,BNL,M,41428,,196,20108.1,36395.7,90,98.7,302615.0,106,True,False,106,0,,1.0
BNL-M,BNL,M,31711,,176,66522.4,79806.3,90,98.7,302615.0,86,True,False,86,0,,0.0
BNL-M,BNL,M,6917,,105,20272.2,32517.1,90,98.7,302615.0,15,True,False,15,0,,0.0
BNL-M,BNL,M,6393,,95,438909.2,527724.9,90,98.7,302615.0,5,True,False,5,0,,1.0
BNL-M,BNL,M,32064,,74,176171.7,197871.5,90,98.7,302615.0,-16,False,True,0,16,,3.0
BNL-M,BNL,M,42904,,78,191123.2,221915.6,90,98.7,302615.0,-12,False,True,0,12,,2.0
BNL-M,BNL,M,38440,,81,236077.0,226985.9,90,98.7,302615.0,-9,False,True,0,9,,2.0
BNL-M,BNL,M,15870,,81,215958.9,199184.6,90,98.7,302615.0,-9,False,True,0,9,,0.0
BNL-M,BNL,M,40233,,87,356383.0,401846.5,90,98.7,302615.0,-3,False,True,0,3,,2.0
BNL-M,BNL,M,6585,,90,374846.4,495861.5,90,98.7,302615.0,0,True,False,0,0,,0.0
BNL-M,BNL,M,19493,,90,360673.6,463109.5,90,98.7,302615.0,0,True,False,0,0,,0.0
BNL-M,BNL,M,12914,,90,511643.3,510544.0,90,98.7,302615.0,0,True,False,0,0,,2.0
BNL-NAM,BNL,NAM,42814,,39,20241.6,24774.4,15,16.8,48934.0,24,True,False,24,0,,0.0
BNL-NAM,BNL,NAM,9895,,39,81305.4,76370.0,15,16.8,48934.0,24,True,False,24,0,,0.0
BNL-NAM,BNL,NAM,46909,,37,24257.8,25775.0,15,16.8,48934.0,22,True,False,22,0,,0.0
BNL-NAM,BNL,NAM,42336,,34,17295.1,21898.8,15,16.8,48934.0,19,True,False,19,0,,0.0
BNL-NAM,BNL,NAM,15055,,27,21308.0,15951.1,15,16.8,48934.0,12,True,False,12,0,,0.0
BNL-NAM,BNL,NAM,34781,,16,109444.7,102938.2,15,16.8,48934.0,1,True,False,1,0,,0.0
BNL-NAM,BNL,NAM,11636,,9,313669.7,614842.8,15,16.8,48934.0,-6,True,True,0,6,,0.0
BNL-NAM,BNL,NAM,17728,,11,59869.8,67529.6,15,16.8,48934.0,-4,True,True,0,4,,0.0
BNL-NAM,BNL,NAM,9828,,11,12951.4,57368.9,15,16.8,48934.0,-4,False,True,0,4,,0.0
BNL-NAM,BNL,NAM,9592,,11,10509.2,379593.2,15,16.8,48934.0,-4,False,True,0,4,,0.0
BNL-NAM,BNL,NAM,15382,,11,36862.9,34120.0,15,16.8,48934.0,-4,False,True,0,4,,0.0
BNL-NAM,BNL,NAM,6950,,12,25682.6,14495.1,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,6572,,12,29830.8,16152.8,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,8842,,12,27827.1,38214.8,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,46717,,12,47460.3,36016.9,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,10014,,12,13697.0,27694.2,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,2769,,12,53285.0,61486.8,15,16.8,48934.0,-3,True,True,0,3,,0.0
BNL-NAM,BNL,NAM,10018,,12,28395.1,30578.8,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,7652,,12,22642.1,39277.0,15,16.8,48934.0,-3,False,True,0,3,,0.0
BNL-NAM,BNL,NAM,35567,,12,117070.2,181588.2,15,16.8,48934.0,-3,True,True,0,3,,0.0
BNL-NAM,BNL,NAM,6949,,13,92528.3,110303.3,15,16.8,48934.0,-2,True,True,0,2,,0.0
BNL-NAM,BNL,NAM,34395,,13,6579.5,1955.6,15,16.8,48934.0,-2,False,True,0,2,,0.0
BNL-NAM,BNL,NAM,8835,,13,33558.0,42470.2,15,16.8,48934.0,-2,False,True,0,2,,0.0
BNL-NAM,BNL,NAM,16506,,13,48128.0,120721.7,15,16.8,48934.0,-2,False,True,0,2,,0.0
BNL-NAM,BNL,NAM,10233,,14,24619.5,35495.9,15,16.8,48934.0,-1,False,True,0,1,,0.0
BNL-NAM,BNL,NAM,36094,,14,41487.6,40744.1,15,16.8,48934.0,-1,False,True,0,1,,0.0
BNL-NAM,BNL,NAM,8757,,14,17318.5,96066.0,15,16.8,48934.0,-1,False,True,0,1,,0.0
BNL-NAM,BNL,NAM,18845,,14,17618.1,15446.6,15,16.8,48934.0,-1,False,True,0,1,,0.0
BNL-NAM,BNL,NAM,3735,,15,82194.9,131060.1,15,16.8,48934.0,0,True,False,0,0,,0.0
BNL-NAM,BNL,NAM,14732,,15,76962.2,88207.1,15,16.8,48934.0,0,True,False,0,0,,0.0
BR-M,BR,M,8152,,150,40726.3,59866.8,90,128.0,37064.0,60,True,False,60,0,,0.0
BR-M,BR,M,41946,,142,61780.7,68579.6,90,128.0,37064.0,52,True,False,52,0,,0.0
BR-M,BR,M,42830,,137,42197.8,45105.4,90,128.0,37064.0,47,True,False,47,0,,0.0
BR-M,BR,M,39738,,132,40210.7,39718.5,90,128.0,37064.0,42,True,False,42,0,,0.0
CA-ACC,CA,ACC,7771,,36,64965.4,98839.3,58,43.8,111837.0,-22,False,True,0,22,,0.0
CA-ACC,CA,ACC,9566,,39,135465.7,141566.3,58,43.8,111837.0,-19,False,True,0,19,,0.0
