Market,Country,Segment,Sales rep ID,Sales team,PCID count,PQR 90d ($),Revenue 90d ($),Impact calls 90d,Impact calls / account,Ideal PCID,Segment avg PCID,Segment avg PQR ($),Vs ideal PCID,Too big,Too little,Healthy book,Peel to ideal,Grow slots
BNL-NAM,BNL,NAM,2609,NL-NAM-ACCSA-AMS-1,23,26686.2,49349.0,59,2.0,15,16.8,48934.0,8,False,False,True,0,0
BNL-NAM,BNL,NAM,2769,NL-NAM-SA-AMS-1,13,53285.0,61486.8,0,0.0,15,16.8,48934.0,-2,True,True,False,0,2
BNL-NAM,BNL,NAM,3735,NL-NAM-SA-AMS-2,15,82194.9,131060.1,0,0.0,15,16.8,48934.0,0,True,False,False,0,0
BNL-NAM,BNL,NAM,6572,NL-NAM-B2B-AMS-1,12,29830.8,16152.8,0,0.0,15,16.8,48934.0,-3,False,True,False,0,3
BNL-NAM,BNL,NAM,6949,NL-NAM-SA-AMS-2,13,92528.3,110303.3,0,0.0,15,16.8,48934.0,-2,True,True,False,0,2
BNL-NAM,BNL,NAM,6950,NL-NAM-RHLOG-AMS-1,12,25682.6,14495.1,0,0.0,15,16.8,48934.0,-3,False,True,False,0,3
BNL-NAM,BNL,NAM,7652,NL-NAM-B2B-AMS-1,12,22642.1,39277.0,0,0.0,15,16.8,48934.0,-3,False,True,False,0,3
BNL-NAM,BNL,NAM,8757,NL-NAM-PSE-AMS-1,14,17318.5,96066.0,0,0.0,15,16.8,48934.0,-1,False,True,False,0,1
BNL-NAM,BNL,NAM,8835,NL-NAM-SA-AMS-1,13,33558.0,42470.2,5,0.0,15,16.8,48934.0,-2,False,True,False,0,2
BNL-NAM,BNL,NAM,8842,NL-NAM-RHLOG-AMS-1,12,27827.1,38214.8,0,0.0,15,16.8,48934.0,-3,False,True,False,0,3
BNL-NAM,BNL,NAM,9592,NL-NAM-B2B-AMS-1,11,10509.2,379593.2,0,0.0,15,16.8,48934.0,-4,False,True,False,0,4
BNL-NAM,BNL,NAM,9828,NL-NAM-B2B-AMS-1,11,12951.4,57368.9,0,0.0,15,16.8,48934.0,-4,False,True,False,0,4
BNL-NAM,BNL,NAM,9895,BE-NAM-PSE-BRU-1,39,81305.4,76370.0,1,0.0,15,16.8,48934.0,24,True,False,False,24,0
BNL-NAM,BNL,NAM,10014,NL-NAM-RHLOG-AMS-1,12,13697.0,27694.2,0,0.0,15,16.8,48934.0,-3,False,True,False,0,3
BNL-NAM,BNL,NAM,10018,NL-NAM-RHLOG-AMS-1,12,28395.1,30578.8,0,0.0,15,16.8,48934.0,-3,False,True,False,0,3
BNL-NAM,BNL,NAM,10233,BE-NAM-ACCSA-BRU-1,13,24619.5,35495.9,0,0.0,15,16.8,48934.0,-2,False,True,False,0,2
