Market,Country,Segment,Ideal headcount,Ideal headcount (assigned accounts),Ideal PCID (accounts/rep),Avg PCID per rep,Segment avg PCID,Avg PQR per rep ($),Segment avg PQR ($),Market PQR 90d ($),Rev vs PQR %,Current reps,Avg PCID per rep,Headcount gap,HC recommendation,Reps too big,Reps too little,Splittable PCID pool,Total grow slots,PCID std dev,New heads from split,Book action (Layer 2),Split hire recommended,Ideal book size (accounts/rep),Perfect book bucket,Perfect book ceiling,Perfect book growth %,Assigned accounts,Revenue 90d ($),Recommended action,FY26 % book built,FY26 book score,FY26 target % (TBD),Headroom accounts,SBS whitespace (country),SBS whitespace,SBS revenue 90d ($),Books buildable from SBS,Opp plateau book max,Opp plateau $/job,Opp pipeline status,Coverage inflection book max,Coverage at inflection,Median impact calls/account,Coverage status,Summary status,Summary — why (plain English),Summary — supporting detail,Summary — full narrative
US-M,US,M,552,552.0,73,58.7,58.7,220303.0,243055.0,163684984.0,16.9,743,54.0,191.0,Optimize,421,369,8322,17975,55.4,114,Split-hire 114 new heads (8322 PCIDs pooled),True,73,07: 66-80,80,0.2,40299,191377838.0,Optimize HC,46.9,-0.076,,14117.0,103686,103686,160675164.0,1420,100,62.0,Growing,10,15,1,Declining,Over HC,Over headcount by 191 reps (743 current vs 552 ideal). Avg book 54 vs ideal 73 — books are underweight even though we carry more reps than the capacity model needs.,"Book health: 421 reps flagged too big, 369 too little (uneven books across the team). · PQR trend: Revenue is 16.9% above prior-quarter PQR (Optimize signal from capacity model). · SBS whitespace: 103,686 unassigned accounts in this country × segment (~1,420 buildable books at ideal size). · Split-hire: Model suggests 114 new heads from 8,322 pooled PCIDs — Split-hire 114 new heads (8322 PCIDs pooled) · Market signals: opp pipeline growing, coverage declining. · FY26 book build: 46.9% of policy flags positive — room to improve book quality. · Recommended next step: Optimize HC.","Over headcount by 191 reps (743 current vs 552 ideal). Avg book 54 vs ideal 73 — books are underweight even though we carry more reps than the capacity model needs. Book health: 421 reps flagged too big, 369 too little (uneven books across the team). PQR trend: Revenue is 16.9% above prior-quarter PQR (Optimize signal from capacity model). SBS whitespace: 103,686 unassigned accounts in this country × segment (~1,420 buildable books at ideal size). Split-hire: Model suggests 114 new heads from 8,322 pooled PCIDs — Split-hire 114 new heads (8322 PCIDs pooled) Market signals: opp pipeline growing, coverage declining. FY26 book build: 46.9% of policy flags positive — room to improve book quality. Recommended next step: Optimize HC."
US-XL,US,XL,1306,1306.0,5,8.1,8.1,107286.0,137394.0,97522635.0,25.2,909,7.0,-397.0,Hire,346,216,2367,444,5.8,473,Split-hire 473 new heads (2367 PCIDs pooled),True,5,01: 1-10,10,0.2,6531,122120636.0,Hire + build books from SBS,51.6,0.021,,0.0,23586,23586,9633069.0,4717,20,4.98,Growing,10,16,9,OK,Under HC,"Under headcount by 397 reps (909 current vs 1,306 ideal). Avg book 7 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring.","Book health: 346 reps flagged too big, 216 too little (uneven books across the team). · PQR trend: Revenue is 25.2% above prior-quarter PQR (Hire signal from capacity model). · SBS whitespace: 23,586 unassigned accounts in this country × segment (~4,717 buildable books at ideal size). · Split-hire: Model suggests 473 new heads from 2,367 pooled PCIDs — Split-hire 473 new heads (2367 PCIDs pooled) · Market signals: opp pipeline growing, coverage ok. · Recommended next step: Hire + build books from SBS.","Under headcount by 397 reps (909 current vs 1,306 ideal). Avg book 7 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring. Book health: 346 reps flagged too big, 216 too little (uneven books across the team). PQR trend: Revenue is 25.2% above prior-quarter PQR (Hire signal from capacity model). SBS whitespace: 23,586 unassigned accounts in this country × segment (~4,717 buildable books at ideal size). Split-hire: Model suggests 473 new heads from 2,367 pooled PCIDs — Split-hire 473 new heads (2367 PCIDs pooled) Market signals: opp pipeline growing, coverage ok. Recommended next step: Hire + build books from SBS."
US-L,US,L,482,482.0,25,15.2,15.2,89347.0,101348.0,70583838.0,19.9,790,15.0,308.0,Optimize,328,600,701,7486,11.3,28,Split-hire 28 new heads (701 PCIDs pooled),True,25,03: 21-30,30,0.2,12048,84612177.0,Optimize HC,48.3,-0.049,,7900.0,14873,14873,11663037.0,594,30,14.72,Growing,10,15,4,Declining,Over HC,Over headcount by 308 reps (790 current vs 482 ideal). Avg book 15 vs ideal 25 — books are underweight even though we carry more reps than the capacity model needs.,"Book health: 328 reps flagged too big, 600 too little (uneven books across the team). · PQR trend: Revenue is 19.9% above prior-quarter PQR (Optimize signal from capacity model). · SBS whitespace: 14,873 unassigned accounts in this country × segment (~594 buildable books at ideal size). · Split-hire: Model suggests 28 new heads from 701 pooled PCIDs — Split-hire 28 new heads (701 PCIDs pooled) · Market signals: opp pipeline growing, coverage declining. · FY26 book build: 48.3% of policy flags positive — room to improve book quality. · Recommended next step: Optimize HC.","Over headcount by 308 reps (790 current vs 482 ideal). Avg book 15 vs ideal 25 — books are underweight even though we carry more reps than the capacity model needs. Book health: 328 reps flagged too big, 600 too little (uneven books across the team). PQR trend: Revenue is 19.9% above prior-quarter PQR (Optimize signal from capacity model). SBS whitespace: 14,873 unassigned accounts in this country × segment (~594 buildable books at ideal size). Split-hire: Model suggests 28 new heads from 701 pooled PCIDs — Split-hire 28 new heads (701 PCIDs pooled) Market signals: opp pipeline growing, coverage declining. FY26 book build: 48.3% of policy flags positive — room to improve book quality. Recommended next step: Optimize HC."
UK-M,UK,M,1325,1325.0,5,50.8,50.8,117541.0,147419.0,18924123.0,17.8,161,41.0,-1164.0,Hire,68,11,5276,25,38.9,1055,Split-hire 1055 new heads (5276 PCIDs pooled),True,5,01: 1-10,10,0.4,6627,22290791.0,Hire + build books from SBS,47.9,-0.056,,0.0,17408,17408,17062163.0,3481,80,47.8,Growing,10,10,1,Declining,Under HC,"Under headcount by 1164 reps (161 current vs 1,325 ideal). Avg book 41 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring.","Book health: 68 reps flagged too big, 11 too little (uneven books across the team). · PQR trend: Revenue is 17.8% above prior-quarter PQR (Hire signal from capacity model). · SBS whitespace: 17,408 unassigned accounts in this country × segment (~3,481 buildable books at ideal size). · Split-hire: Model suggests 1,055 new heads from 5,276 pooled PCIDs — Split-hire 1055 new heads (5276 PCIDs pooled) · Market signals: opp pipeline growing, coverage declining. · FY26 book build: 47.9% of policy flags positive — room to improve book quality. · Recommended next step: Hire + build books from SBS.","Under headcount by 1164 reps (161 current vs 1,325 ideal). Avg book 41 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring. Book health: 68 reps flagged too big, 11 too little (uneven books across the team). PQR trend: Revenue is 17.8% above prior-quarter PQR (Hire signal from capacity model). SBS whitespace: 17,408 unassigned accounts in this country × segment (~3,481 buildable books at ideal size). Split-hire: Model suggests 1,055 new heads from 5,276 pooled PCIDs — Split-hire 1055 new heads (5276 PCIDs pooled) Market signals: opp pipeline growing, coverage declining. FY26 book build: 47.9% of policy flags positive — room to improve book quality. Recommended next step: Hire + build books from SBS."
US-S,US,S,122,122.0,45,12.6,12.6,20777.0,35904.0,10720937.0,23.5,516,11.0,394.0,Optimize,100,278,61,9511,14.8,1,Split-hire 1 new head (61 PCIDs pooled),True,45,05: 41-50,50,0.2,5479,13240723.0,Optimize HC,46.7,-0.084,,17544.0,1765314,1765314,502172154.0,39229,10,192.03,Plateaued,10,29,20,Declining,Over HC,Over headcount by 394 reps (516 current vs 122 ideal). Avg book 11 vs ideal 45 — books are underweight even though we carry more reps than the capacity model needs.,"Book health: 100 reps flagged too big, 278 too little (uneven books across the team). · PQR trend: Revenue is 23.5% above prior-quarter PQR (Optimize signal from capacity model). · SBS whitespace: 1,765,314 unassigned accounts in this country × segment (~39,229 buildable books at ideal size). · Split-hire: Model suggests 1 new head from 61 pooled PCIDs — Split-hire 1 new head (61 PCIDs pooled) · Market signals: opp pipeline plateaued, coverage declining. · FY26 book build: 46.7% of policy flags positive — room to improve book quality. · Recommended next step: Optimize HC.","Over headcount by 394 reps (516 current vs 122 ideal). Avg book 11 vs ideal 45 — books are underweight even though we carry more reps than the capacity model needs. Book health: 100 reps flagged too big, 278 too little (uneven books across the team). PQR trend: Revenue is 23.5% above prior-quarter PQR (Optimize signal from capacity model). SBS whitespace: 1,765,314 unassigned accounts in this country × segment (~39,229 buildable books at ideal size). Split-hire: Model suggests 1 new head from 61 pooled PCIDs — Split-hire 1 new head (61 PCIDs pooled) Market signals: opp pipeline plateaued, coverage declining. FY26 book build: 46.7% of policy flags positive — room to improve book quality. Recommended next step: Optimize HC."
DACH-M,DACH,M,80,80.0,73,54.0,54.0,58766.0,89308.0,7757099.0,21.3,132,44.0,52.0,Optimize,54,57,539,2171,37.1,7,Split-hire 7 new heads (539 PCIDs pooled),True,73,07: 66-80,80,0.3,5850,9407836.0,Optimize HC,50.0,0.005,,3828.0,10887,10887,6745632.0,149,65,44.3,Growing,10,17,2,Declining,Over HC,Over headcount by 52 reps (132 current vs 80 ideal). Avg book 44 vs ideal 73 — books are underweight even though we carry more reps than the capacity model needs.,"Book health: 54 reps flagged too big, 57 too little (uneven books across the team). · PQR trend: Revenue is 21.3% above prior-quarter PQR (Optimize signal from capacity model). · SBS whitespace: 10,887 unassigned accounts in this country × segment (~149 buildable books at ideal size). · Split-hire: Model suggests 7 new heads from 539 pooled PCIDs — Split-hire 7 new heads (539 PCIDs pooled) · Market signals: opp pipeline growing, coverage declining. · Recommended next step: Optimize HC.","Over headcount by 52 reps (132 current vs 80 ideal). Avg book 44 vs ideal 73 — books are underweight even though we carry more reps than the capacity model needs. Book health: 54 reps flagged too big, 57 too little (uneven books across the team). PQR trend: Revenue is 21.3% above prior-quarter PQR (Optimize signal from capacity model). SBS whitespace: 10,887 unassigned accounts in this country × segment (~149 buildable books at ideal size). Split-hire: Model suggests 7 new heads from 539 pooled PCIDs — Split-hire 7 new heads (539 PCIDs pooled) Market signals: opp pipeline growing, coverage declining. Recommended next step: Optimize HC."
UK-L,UK,L,142,142.0,15,13.2,13.2,38576.0,47840.0,6635068.0,25.1,172,12.0,30.0,Optimize,57,81,368,640,8.7,24,Split-hire 24 new heads (368 PCIDs pooled),True,15,02: 11-20,20,0.3,2124,8301713.0,Optimize HC,49.9,-0.014,,516.0,1880,1880,428831.0,125,20,7.2,Growing,10,11,5,Declining,Over HC,Over headcount by 30 reps (172 current vs 142 ideal). Avg book 12 vs ideal 15 — books are underweight even though we carry more reps than the capacity model needs.,"Book health: 57 reps flagged too big, 81 too little (uneven books across the team). · PQR trend: Revenue is 25.1% above prior-quarter PQR (Optimize signal from capacity model). · SBS whitespace: 1,880 unassigned accounts in this country × segment (~125 buildable books at ideal size). · Split-hire: Model suggests 24 new heads from 368 pooled PCIDs — Split-hire 24 new heads (368 PCIDs pooled) · Market signals: opp pipeline growing, coverage declining. · FY26 book build: 49.9% of policy flags positive — room to improve book quality. · Recommended next step: Optimize HC.","Over headcount by 30 reps (172 current vs 142 ideal). Avg book 12 vs ideal 15 — books are underweight even though we carry more reps than the capacity model needs. Book health: 57 reps flagged too big, 81 too little (uneven books across the team). PQR trend: Revenue is 25.1% above prior-quarter PQR (Optimize signal from capacity model). SBS whitespace: 1,880 unassigned accounts in this country × segment (~125 buildable books at ideal size). Split-hire: Model suggests 24 new heads from 368 pooled PCIDs — Split-hire 24 new heads (368 PCIDs pooled) Market signals: opp pipeline growing, coverage declining. FY26 book build: 49.9% of policy flags positive — room to improve book quality. Recommended next step: Optimize HC."
CA-XL,CA,XL,114,114.0,5,8.1,8.1,34763.0,57152.0,3198151.0,29.0,92,6.0,-22.0,Hire,26,12,169,22,4.8,33,Split-hire 33 new heads (169 PCIDs pooled),True,5,01: 1-10,10,0.3,570,4126601.0,Hire + build books from SBS,52.4,0.038,,0.0,2306,2306,357161.0,461,10,6.0,Growing,10,18,17,OK,Under HC,Under headcount by 22 reps (92 current vs 114 ideal). Avg book 6 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring.,"Book health: 26 reps flagged too big, 12 too little (uneven books across the team). · PQR trend: Revenue is 29.0% above prior-quarter PQR (Hire signal from capacity model). · SBS whitespace: 2,306 unassigned accounts in this country × segment (~461 buildable books at ideal size). · Split-hire: Model suggests 33 new heads from 169 pooled PCIDs — Split-hire 33 new heads (169 PCIDs pooled) · Market signals: opp pipeline growing, coverage ok. · Recommended next step: Hire + build books from SBS.","Under headcount by 22 reps (92 current vs 114 ideal). Avg book 6 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring. Book health: 26 reps flagged too big, 12 too little (uneven books across the team). PQR trend: Revenue is 29.0% above prior-quarter PQR (Hire signal from capacity model). SBS whitespace: 2,306 unassigned accounts in this country × segment (~461 buildable books at ideal size). Split-hire: Model suggests 33 new heads from 169 pooled PCIDs — Split-hire 33 new heads (169 PCIDs pooled) Market signals: opp pipeline growing, coverage ok. Recommended next step: Hire + build books from SBS."
DACH-L,DACH,L,408,408.0,5,14.7,14.7,22239.0,40525.0,3446995.0,18.8,155,13.0,-253.0,Hire,36,21,652,47,10.5,130,Split-hire 130 new heads (652 PCIDs pooled),True,5,01: 1-10,10,0.4,2038,4096268.0,Hire + build books from SBS,52.8,0.055,,0.0,1298,1298,417037.0,259,10,10.8,Plateaued,20,11,8,OK,Under HC,Under headcount by 253 reps (155 current vs 408 ideal). Avg book 13 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring.,"Book health: 36 reps flagged too big, 21 too little (uneven books across the team). · PQR trend: Revenue is 18.8% above prior-quarter PQR (Hire signal from capacity model). · SBS whitespace: 1,298 unassigned accounts in this country × segment (~259 buildable books at ideal size). · Split-hire: Model suggests 130 new heads from 652 pooled PCIDs — Split-hire 130 new heads (652 PCIDs pooled) · Market signals: opp pipeline plateaued, coverage ok. · Recommended next step: Hire + build books from SBS.","Under headcount by 253 reps (155 current vs 408 ideal). Avg book 13 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring. Book health: 36 reps flagged too big, 21 too little (uneven books across the team). PQR trend: Revenue is 18.8% above prior-quarter PQR (Hire signal from capacity model). SBS whitespace: 1,298 unassigned accounts in this country × segment (~259 buildable books at ideal size). Split-hire: Model suggests 130 new heads from 652 pooled PCIDs — Split-hire 130 new heads (652 PCIDs pooled) Market signals: opp pipeline plateaued, coverage ok. Recommended next step: Hire + build books from SBS."
CA-L,CA,L,193,193.0,5,11.9,11.9,27785.0,39133.0,2556255.0,24.7,92,11.0,-101.0,Hire,31,14,417,24,7.9,83,Split-hire 83 new heads (417 PCIDs pooled),True,5,01: 1-10,10,0.3,964,3188432.0,Hire + build books from SBS,51.3,0.016,,0.0,1610,1610,719245.0,322,30,9.4,Growing,10,24,7,Declining,Under HC,Under headcount by 101 reps (92 current vs 193 ideal). Avg book 11 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring.,"Book health: 31 reps flagged too big, 14 too little (uneven books across the team). · PQR trend: Revenue is 24.7% above prior-quarter PQR (Hire signal from capacity model). · SBS whitespace: 1,610 unassigned accounts in this country × segment (~322 buildable books at ideal size). · Split-hire: Model suggests 83 new heads from 417 pooled PCIDs — Split-hire 83 new heads (417 PCIDs pooled) · Market signals: opp pipeline growing, coverage declining. · Recommended next step: Hire + build books from SBS.","Under headcount by 101 reps (92 current vs 193 ideal). Avg book 11 vs ideal 5 — headcount is short but existing books are already above ideal; prioritize split/redistribution before pure hiring. Book health: 31 reps flagged too big, 14 too little (uneven books across the team). PQR trend: Revenue is 24.7% above prior-quarter PQR (Hire signal from capacity model). SBS whitespace: 1,610 unassigned accounts in this country × segment (~322 buildable books at ideal size). Split-hire: Model suggests 83 new heads from 417 pooled PCIDs — Split-hire 83 new heads (417 PCIDs pooled) Market signals: opp pipeline growing, coverage declining. Recommended next step: Hire + build books from SBS."
