country,segment,sales_rep_id,sales_team_name,jobs_90d,rev_per_job,revenue_90d,pqr_90d
AU,ACC,5101,AU-NAM-ACCDE-SYD-1,92845,0.6,60185.4,40194.8
AU,ACC,6383,AU-NAM-ACCDE-SYD-1,38204,0.4,15798.7,13250.1
AU,ACC,9208,AU-M-ACCDE-SYD-1,31053,3.8,117882.5,126683.6
AU,ACC,13758,AU-M-ACCDE-SYD-1,17645,3.3,57689.3,63998.0
AU,ACC,17704,AU-NAM-ACCDE-SYD-1,77929,0.5,40521.2,21485.9
AU,ACC,18351,AU-M-ACCDE-SYD-1,28661,2.9,84205.7,62822.9
AU,ACC,24772,AU-M-ACCDE-SYD-1,46863,1.8,83425.1,78579.6
AU,ACC,25650,AU-M-ACCDE-SYD-1,15093,3.1,46590.0,62452.8
AU,ACC,30398,AU-M-ACCDE-SYD-1,25464,3.6,92342.7,80095.9
AU,ACC,35451,AU-NAM-ACCDE-SYD-1,121561,0.2,27353.2,18464.5
AU,ACC,43078,AU-M-ACCDE-SYD-1,20501,3.7,75951.3,89038.5
AU,ACC,43720,AU-M-ACCDE-SYD-1,42695,1.3,57555.9,55963.9
AU,NAM,8861,AU-NAM-ACCSA-SYD-1,28155,0.4,10495.8,8816.7
AU,NAM,14665,AU-NAM-ACCSA-SYD-1,56243,0.2,13696.5,8623.3
AU,NAM,20039,AU-NAM-ACCSA-SYD-1,39530,0.5,18382.5,21864.2
AU,NAM,25018,AU-NAM-ACCSA-SYD-1,56598,0.4,21920.8,11285.8
BNL,ACC,4940,BE-NAM-ACCDE-BRU-1,11277,4.5,50922.3,24322.9
BNL,ACC,5286,NL-M-ACCDE-AMS-2,10848,5.8,63207.4,36660.6
BNL,ACC,6493,NL-M-ACCDE-AMS-2,14796,6.4,94057.2,26333.4
BNL,ACC,8128,BE-NAM-ACCDE-BRU-1,24370,1.8,43020.9,24829.2
BNL,ACC,8673,NL-M-ACCDE-AMS-2,8674,8.7,75594.8,60899.0
BNL,ACC,8834,NL-NAM-ACCDE-AMS-1,28621,0.7,20076.2,17167.8
BNL,ACC,10379,NL-M-ACCDE-AMS-2,13555,3.3,44186.4,32463.8
BNL,ACC,10493,NL-NAM-ACCDE-AMS-1,29000,0.8,22676.1,10420.9
BNL,ACC,13541,BE-NAM-ACCDE-BRU-1,11573,7.6,88115.0,50734.6
BNL,ACC,14772,NL-M-ACCDE-AMS-2,23124,2.0,45303.4,42488.0
BNL,ACC,14813,BE-NAM-ACCDE-BRU-1,4680,20.8,97199.1,71407.8
BNL,ACC,16472,NL-NAM-ACCDE-AMS-1,25522,1.2,29544.9,17598.2
BNL,ACC,16516,BE-NAM-ACCDE-BRU-1,23820,2.2,53141.9,37194.0
BNL,ACC,16573,NL-M-ACCDE-AMS-2,12172,5.8,70027.2,38150.5
BNL,ACC,17142,BE-M-ACCDE-BRU-1,22051,2.7,59074.8,36731.5
BNL,ACC,19507,BE-M-ACCDE-BRU-1,143039,0.5,74555.3,61204.4
BNL,ACC,19806,BE-M-ACCDE-BRU-1,6119,11.4,69472.8,51363.6
BNL,ACC,27047,BE-NAM-ACCDE-BRU-1,4696,23.7,111479.6,103958.5
BNL,ACC,31700,NL-M-ACCDE-DUB-1,10701,5.4,57796.1,29701.1
BNL,ACC,35575,NL-M-ACCDE-DUB-1,7814,10.0,78311.1,66254.9
BNL,ACC,42831,BE-M-ACCDE-BRU-1,14384,4.6,66066.7,57142.2
BNL,ACC,43160,BE-M-ACCDE-BRU-1,4257,15.2,64640.8,39214.2
BNL,ACC,44003,BE-M-ACCDE-BRU-1,3112,34.1,106172.2,60360.9
BNL,ACC,46334,BE-M-ACCDE-BRU-1,2924,15.4,44896.9,40109.9
BNL,ISDCA,30907,NL-ISDCA-DE-DUB-1,13532,16.5,223223.5,15234.5
BNL,L,3638,NL-L-SA-DUB-1,20030,6.7,134913.1,138478.0
BNL,L,6382,NL-L-DE-AMS-1,38839,3.1,118894.8,75409.6
BNL,L,9479,NL-L-DE-AMS-1,17851,7.2,128308.2,127323.8
BNL,L,16517,BE-L-SA-BRU-1,21715,1.1,23261.1,35614.4
BNL,L,17951,NL-L-DE-AMS-1,45123,1.9,86967.1,70205.1
BNL,L,28956,NL-L-DE-AMS-1,20958,8.1,169318.5,149402.1
BNL,L,33964,NL-L-SA-DUB-1,31243,6.8,211904.5,154615.2
BNL,L,35143,NL-L-SA-DUB-1,20938,6.6,137232.2,117498.8
BNL,L,36246,NL-L-SA-DUB-1,23924,5.2,123736.6,128765.4
BNL,L,39849,BE-L-SA-BRU-1,16619,1.3,21226.8,21340.3
BNL,L,42609,NL-L-DE-AMS-1,15343,8.6,131314.1,103972.3
BNL,M,6393,NL-M-DE-DUB-1,10388,50.8,527724.9,427966.0
BNL,M,6585,NL-M-DE-DUB-2,8979,55.2,495861.5,374846.4
BNL,M,6917,NL-M-PSE-AMS-1,13032,2.5,32517.1,20272.2
BNL,M,9379,NL-M-DE-AMS-1,7107,81.4,578337.4,465234.1
BNL,M,12914,NL-M-DE-AMS-1,17871,28.6,510544.0,511643.3
BNL,M,13680,NL-M-DE-AMS-1,8743,48.5,424348.0,355596.1
BNL,M,15870,NL-M-SA-DUB-1,18891,10.5,199184.6,215958.9
BNL,M,18422,NL-M-DE-AMS-1,8851,51.3,453874.8,348755.2
BNL,M,19493,NL-M-DE-DUB-1,12358,37.5,463109.5,360673.6
BNL,M,21208,NL-M-DE-DUB-2,24425,16.8,411327.3,369796.0
BNL,M,30795,NL-M-DE-DUB-2,15676,28.0,438245.7,380323.5
BNL,M,31711,NL-M-PSE-AMS-1,24072,3.3,79806.3,66522.4
BNL,M,32064,NL-M-SA-DUB-1,16628,11.9,197871.5,176171.7
BNL,M,35817,NL-M-DE-DUB-1,11434,46.9,535746.6,380053.1
BNL,M,38440,NL-M-SA-DUB-1,19505,11.6,226985.9,236077.0
BNL,M,40233,NL-M-DE-DUB-2,6406,62.7,401846.5,356383.0
BNL,M,41428,NL-M-SA-DUB-1,35327,1.0,36225.2,20108.1
BNL,M,42904,NL-M-SA-DUB-1,13389,16.6,221915.6,187050.9
BNL,M,44931,NL-M-DE-DUB-1,11168,43.6,487304.4,393379.4
BNL,M,45182,NL-M-DE-DUB-1,9982,47.4,472963.6,386296.4
BNL,NAM,2609,NL-NAM-ACCSA-AMS-1,78493,0.6,49349.0,26686.2
BNL,NAM,2769,NL-NAM-SA-AMS-1,217077,0.3,61486.8,53285.0
BNL,NAM,3735,NL-NAM-SA-AMS-2,89037,1.5,131060.1,82194.9
BNL,NAM,6572,NL-NAM-B2B-AMS-1,48813,0.3,16152.8,29830.8
BNL,NAM,6949,NL-NAM-SA-AMS-2,175406,0.6,110303.3,92528.3
BNL,NAM,6950,NL-NAM-RHLOG-AMS-1,8446,1.7,14495.1,25682.6
BNL,NAM,7652,NL-NAM-B2B-AMS-1,10494,3.7,39277.0,22642.1
BNL,NAM,8757,NL-NAM-PSE-AMS-1,9037,10.6,96066.0,17318.5
BNL,NAM,8835,NL-NAM-SA-AMS-1,90594,0.5,42470.2,33558.0
BNL,NAM,8842,NL-NAM-RHLOG-AMS-1,16729,2.3,38214.8,27827.1
BNL,NAM,9592,NL-NAM-B2B-AMS-1,10935,34.7,379593.2,10509.2
BNL,NAM,9828,NL-NAM-B2B-AMS-1,23037,2.5,57368.9,12951.4
BNL,NAM,9895,BE-NAM-PSE-BRU-1,81815,0.9,76370.0,81305.4
BNL,NAM,10014,NL-NAM-RHLOG-AMS-1,21107,1.3,27694.2,13697.0
BNL,NAM,10018,NL-NAM-RHLOG-AMS-1,32916,0.9,30578.8,28395.1
BNL,NAM,10233,BE-NAM-ACCSA-BRU-1,124498,0.3,35495.9,24619.5
BNL,NAM,11636,NL-NAM-RHLOG-AMS-1,38846,15.8,614842.8,313669.7
BNL,NAM,14732,BE-NAM-ACCSA-BRU-1,136515,0.6,88207.1,76962.2
